url,twitterUrl,text,source,createdAt,possiblySensitive,retweetCount,replyCount,likeCount,quoteCount,bookmarkCount,authorType,authorIsVerified,authorIsBlueVerified,authorFollowers,authorFollowing
https://x.com/gurgavin/status/1694087002793066893,https://twitter.com/gurgavin/status/1694087002793066893,"CALL ME CRAZY BUT IF THE AI HYPE IS ACTUALLY REAL NVIDIA’S ESTIMATES DONT SEEM TO BE HIGH ENOUGH FOR THE NEXT QUARTER 

CURRENT ANALYST ESTIMATES FOR NEXT QUARTER 

REVENUE -&gt; $12.5 BILLION 

EPS -&gt; $2.38

$NVDA https://t.co/zrZ3ehNlFF",Twitter for iPhone,Tue Aug 22 20:39:50 +0000 2023,False,66,104,669,8,28,user,False,True,426985,596
https://x.com/Investingcom/status/1694019804024164757,https://twitter.com/Investingcom/status/1694019804024164757,"*HOW MANY TIMES WILL NVIDIA SAY 'AI' ON ITS EARNINGS CALL?

$NVDA https://t.co/hSyrQNln7s",Twitter for Android,Tue Aug 22 16:12:49 +0000 2023,False,37,62,298,7,0,user,False,True,1224243,293
https://x.com/NVIDIAGeForce/status/1694003740733542455,https://twitter.com/NVIDIAGeForce/status/1694003740733542455,"Powered by NVIDIA supercomputer-trained AI, new DLSS 3.5 with Ray Reconstruction enhances ray-traced image quality for intensive ray-traced games and apps.

🟢 Max FPS
🟢 Max Quality
🟢 Powered by AI

#BeyondFast https://t.co/TMKLat4PvD",Twitter Web App,Tue Aug 22 15:08:59 +0000 2023,False,90,46,702,27,10,user,False,True,3027022,966
https://x.com/zerohedge/status/1693687990202007561,https://twitter.com/zerohedge/status/1693687990202007561,"AI algos are bullish on AI algos

Nvidia Price Target Raised to $550.00/Share From $450.00 by BMO Capital
Nvidia PT Raised to $620 from $550 at KeyBanc
HSBC Raises Nvidia Price Target to $780",TweetDeck,Mon Aug 21 18:14:18 +0000 2023,,48,38,270,12,2,user,False,True,2063883,926
https://x.com/lozanoff87/status/1693584960546828597,https://twitter.com/lozanoff87/status/1693584960546828597,"On 23-th of August,  NVIDIA will announce something very important which will explode the AI sector... It's not a financial advice but $AKT I's my favorite in #AI competition...

#ArtificialIntelligence @akashnet_ #binance    #KuCoin #MEXCGLOBAL #Coinbase https://t.co/9RaanuIsfc",Twitter for Android,Mon Aug 21 11:24:54 +0000 2023,False,15,10,77,1,0,user,False,True,889,269
https://x.com/DivesTech/status/1693517553413378285,https://twitter.com/DivesTech/status/1693517553413378285,"This is one of the most important earnings weeks of the year with the ""Godfather of AI"" CEO Jensen Huang and Nvidia reporting its highly anticipated earnings on Wed after the bell.   We expect a bullish outlook from Nvidia that speaks to unprecedented AI demand in the field. 🐂🔥",Twitter for iPhone,Mon Aug 21 06:57:03 +0000 2023,,52,47,468,7,5,user,False,True,164022,336
https://x.com/GarethSoloway/status/1693383950134059149,https://twitter.com/GarethSoloway/status/1693383950134059149,"Top 5 Things Every Trader Should Be Watching This Week...

1. #NVIDIA $NVDA Earnings Wed (After Market Close)
This stock has become the golden child of the stock market and the risk on environment. Valuation is insane but justified by bulls based on the incredible growth #AI is bringing. Consensus estimates are for $2.07 in earnings on revenue of $11.09B. Whisper numbers put earnings at $2.13.

To justify current price, they will have to blow away the whisper number, likely coming in north of $2.25/share with revenue of $11.50B+. It is possible they do it. I give it 50/50.

With a $1T valuation, this report will be huge for the overall market, especially after $AAPL $MSFT fell sharply on earnings.

2. Jerome Powell's Speech from Jackson Hole on Friday...

Federal Reserve chairman Jerome Powell will be holding the annual huddle in #JacksonHole, WY. With the minutes from last week being extremely hawkish, China's economy in freefall, yields at multi-decade highs, this is his chance to guide the markets into the September Fed meeting. Investors will likely have a great idea of whether the Fed will hike or not by Friday mid-morning. His speech is slated for 10:05am ET.

3.  10 Year Yields....

The 10 year yield knocked on 4.33% this past Thursday. This is a double top from October '22 when it hit the same level. Please note that the #StockMarket was 20% lower. This puts investors in a precarious position if yields breakout. Markets have been pricing in a more dovish Fed for the last year and keep getting disappointed. Now 5 year inflation expectations are north of 2.5%. At some point the markets have to recognize inflation may be stickier than first thought, in which case the Federal Reserve may need to keep rates higher for longer.

Remember, the higher the yield goes, the more money gets coaxed out of stocks for the safety of bonds with a guarantee on the return. 

The 2 and 10 yr yields are inching a little closer. While still inverted, note that historically it's when yields un-invert that a recession hits. With the jobs market still super strong, a recession at earliest would be Dec 2023 or first quarter 2024. Watch the yields for an un-inversion as a great signal.

4. Japan...
Most investors don't realize Japan is important to US markets...it is. Japan has had near zero interest rates for the last 40+ years. This made them the biggest buyers of US treasuries. Yes, they hold the most US debt of any country. With inflation finally hitting Japan, they are loosening their yield curve control which may make US debt less attractive. Watch the USD/JPY.

5. China...
The 2nd largest economy is in major trouble. However, because China has authoritarian rule, they can print money at will. This is unlike the United States that has to deal with 2 houses of congress. With major deflation, China has even more leeway to print massive amounts of money to reignite their economy. I would expect some sort of economic stimulus package early this week as they try and stem the panic. US markets should like an epic stimulus package.

Bonus...#Bitcoin
Bitcoin continues to hold above the 25,000 level, its next major technical support. Rumors that something is coming with #Binance have been swelling. As a technician, just watch the 25k level. If it holds, price can retest 28k (resistance). If 25k breaks, 20k will be the next stop.

I continue to hold the view that the only way we see a break of double bottom on $BTC is if the US equity markets collapse 20%+ in the coming 6-12 months. I do think there is a real possibility of that.",Twitter Web App,Sun Aug 20 22:06:09 +0000 2023,,331,107,2141,24,401,user,False,True,228754,733
https://x.com/NVIDIAGeForce/status/1694118985699316010,https://twitter.com/NVIDIAGeForce/status/1694118985699316010,"Call of Duty: Modern Warfare III  is launching November 10 on PC with DLSS 3 &amp; Reflex 🎯

Learn More --&gt; https://t.co/htvjV67PcK https://t.co/l2iVVLLBgb",Twitter Web App,Tue Aug 22 22:46:56 +0000 2023,False,33,29,324,3,2,user,False,True,3027022,966
https://x.com/NVIDIAGeForce/status/1694106329588392191,https://twitter.com/NVIDIAGeForce/status/1694106329588392191,"Cyberpunk 2077: Phantom Liberty is going #RTXOn ⚡

Enjoy the new spy-thriller adventure with full ray tracing, NVIDIA DLSS 3.5, and Reflex. https://t.co/xDIg42kVMV",Twitter Web App,Tue Aug 22 21:56:38 +0000 2023,False,72,21,629,6,6,user,False,True,3027022,966
https://x.com/NVIDIAGeForce/status/1694094341646753836,https://twitter.com/NVIDIAGeForce/status/1694094341646753836,Check out the new trailer for Black Myth: Wukong from game developer Game Science showcasing performance multiplying NVIDIA DLSS 3. https://t.co/4wpgLlb2og,Twitter Web App,Tue Aug 22 21:09:00 +0000 2023,False,48,18,338,11,2,user,False,True,3027022,966
